Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Cluster
982,Salamanca,Piso en calle de Claudio Coello,97,Castellana,1200,1.0,45,6.0,1.0,1.0,0,0,0,0,1
983,Salamanca,Piso en calle de Azcona,17,Guindalera,1350,3.0,89,1.0,1.0,1.0,0,0,0,0,1
984,Salamanca,Piso en Recoletos,,Recoletos,3150,3.0,220,2.0,1.0,1.0,0,0,0,0,1
985,Salamanca,Piso en calle de Núñez de Balboa,,Recoletos,1250,1.0,70,5.0,0.0,1.0,0,0,0,0,5
986,Salamanca,Piso en calle de Hermosilla,,Goya,1500,2.0,60,3.0,0.0,1.0,0,0,0,0,5
987,Salamanca,Piso en Velazquez,,Castellana,4300,2.0,90,0.0,1.0,1.0,0,0,0,0,1
988,Salamanca,Estudio en Goya,,Goya,800,,40,5.0,0.0,1.0,0,0,0,0,5
989,Salamanca,Piso en GENERAL PARDIÁ‘AS,,Lista,1125,2.0,40,1.0,1.0,1.0,0,0,0,0,1
990,Salamanca,Piso en calle de Ayala,,Goya,2380,3.0,184,5.0,1.0,1.0,0,0,0,0,1
991,Salamanca,Piso en calle conde de aranda,,Recoletos,2000,1.0,70,1.0,1.0,1.0,0,0,0,0,1
992,Salamanca,Piso en Lista,,Lista,2000,3.0,145,1.0,1.0,1.0,0,0,0,0,1
993,Salamanca,Piso en Recoletos,,Recoletos,5500,5.0,300,1.0,1.0,1.0,0,0,0,0,1
994,Salamanca,Piso en Goya,,Goya,2500,3.0,190,8.0,0.0,1.0,0,0,0,0,5
995,Salamanca,Piso en calle General Pardiñas,,Goya,2500,3.0,165,2.0,1.0,1.0,0,0,0,0,1
996,Salamanca,Ático en Goya,,Goya,1600,1.0,65,6.0,1.0,1.0,1,0,0,0,2
997,Salamanca,Piso en Castellana,,Castellana,5300,3.0,236,7.0,1.0,1.0,0,0,0,0,1
998,Salamanca,Piso en calle de diego de león,29,Castellana,1800,2.0,80,5.0,0.0,1.0,0,0,0,0,5
999,Salamanca,Piso en calle de Alcalá,150,Goya,1800,3.0,101,3.0,1.0,1.0,0,0,0,0,1
1000,Salamanca,Piso en calle de María Teresa,9,Guindalera,1450,3.0,120,5.0,1.0,1.0,0,0,0,0,1
1001,Salamanca,Estudio en Lista,,Lista,850,,40,5.0,0.0,1.0,0,0,0,0,5
1002,Salamanca,Dúplex en calle Martínez Izquierdo,16,Guindalera,1250,3.0,80,3.0,1.0,1.0,0,0,1,0,1
1003,Salamanca,Piso en calle de Velázquez,42,Recoletos,5000,4.0,355,2.0,1.0,1.0,0,0,0,0,1
1004,Salamanca,Ático en Castellana,,Castellana,2750,2.0,150,7.0,1.0,1.0,1,0,0,0,2
1005,Salamanca,Piso en Castellana,,Castellana,3700,5.0,220,5.0,1.0,1.0,0,0,0,0,1
1006,Salamanca,Piso en Goya,,Goya,3800,2.0,110,5.0,1.0,1.0,0,0,0,0,1
1007,Salamanca,Piso en Goya,,Goya,1500,2.0,110,4.0,1.0,1.0,0,0,0,0,1
1008,Salamanca,Piso en SERRANO,,Castellana,8000,4.0,300,3.0,1.0,1.0,0,0,0,0,1
1009,Salamanca,Piso en calle de lagasca,,Recoletos,950,1.0,45,3.0,0.0,1.0,0,0,0,0,5
1011,Salamanca,Piso en calle de Castelló,,Castellana,2800,4.0,213,5.0,1.0,1.0,0,0,0,0,1
1012,Salamanca,Piso en Castellana,,Castellana,4000,5.0,250,5.0,1.0,1.0,0,0,0,0,1
1013,Salamanca,Piso en Recoletos,,Recoletos,3900,4.0,220,6.0,1.0,1.0,0,0,0,0,1
1014,Salamanca,Piso en Lista,,Lista,950,2.0,50,7.0,0.0,1.0,0,0,0,0,5
1015,Salamanca,Piso en calle de goya,,Recoletos,2200,2.0,110,3.0,1.0,1.0,0,0,0,0,1
1016,Salamanca,Piso en calle de Claudio Coello,,Castellana,3000,5.0,300,3.0,1.0,1.0,0,0,0,0,1
1018,Salamanca,Piso en calle de Hermosilla,,Fuente del Berro,1100,3.0,70,2.0,1.0,1.0,0,0,0,0,1
1019,Salamanca,Piso en Castellana,,Castellana,3500,5.0,300,3.0,1.0,1.0,0,0,0,0,1
1020,Salamanca,Piso en Recoletos,,Recoletos,3500,3.0,225,3.0,1.0,1.0,0,0,0,0,1
1021,Salamanca,Piso en Recoletos,,Recoletos,3500,3.0,120,4.0,1.0,1.0,0,0,0,0,1
1022,Salamanca,Dúplex en Castellana,,Castellana,5000,4.0,250,5.0,1.0,1.0,0,0,1,0,1
1023,Salamanca,Piso en Castellana,,Castellana,2500,2.0,130,2.0,1.0,1.0,0,0,0,0,1
1024,Salamanca,Piso en Castellana,,Castellana,3500,2.0,188,2.0,1.0,1.0,0,0,0,0,1
1025,Salamanca,Piso en calle de Velázquez,27,Recoletos,1850,1.0,50,4.0,1.0,1.0,0,0,0,0,1
1026,Salamanca,Piso en calle de Alcántara,,Lista,1100,3.0,68,5.0,0.0,1.0,0,0,0,0,5
1027,Salamanca,Ático en Goya,,Goya,1850,2.0,90,7.0,1.0,1.0,1,0,0,0,2
1028,Arganzuela,Piso en Acacias,,Acacias,1100,2.0,65,2.0,0.0,1.0,0,0,0,0,5
1029,Arganzuela,Piso en Legazpi,,Legazpi,1350,2.0,111,1.0,1.0,1.0,0,0,0,0,1
1031,Arganzuela,Piso en Imperial,,Imperial,1350,2.0,100,4.0,1.0,1.0,0,0,0,0,1
1032,Arganzuela,Piso en paseo del Doctor Vallejo Nágera,,Acacias,1400,2.0,90,1.0,1.0,1.0,0,0,0,0,1
1033,Arganzuela,Piso en paseo de los Pontones,,Imperial,1350,2.0,100,4.0,1.0,1.0,0,0,0,0,1
1034,Arganzuela,Piso en calle San Epifanio,7,Imperial,1250,2.0,84,3.0,1.0,1.0,0,0,0,0,1
1035,Arganzuela,Piso en Palos de Moguer,,Palos de Moguer,1250,2.0,90,1.0,1.0,1.0,0,0,0,0,1
1036,Arganzuela,Piso en paseo imperial,,Imperial,1400,3.0,110,3.0,1.0,1.0,0,0,0,0,1
1037,Arganzuela,Piso en canarias,31,Palos de Moguer,500,1.0,25,-0.5,0.0,0.0,0,0,0,0,5
1038,Arganzuela,Piso en calle de Bolívar,,Delicias,1300,2.0,143,5.0,1.0,1.0,0,0,0,0,1
1039,Arganzuela,Piso en calle de Bolívar,,Delicias,1300,2.0,143,5.0,1.0,1.0,0,0,0,0,1
1040,Arganzuela,Piso en Bolivar,24,Legazpi,1200,2.0,91,2.0,1.0,1.0,0,0,0,0,1
1041,Arganzuela,Piso en paseo de la Esperanza,,Acacias,850,1.0,60,3.0,1.0,1.0,0,0,0,0,1
1042,Arganzuela,Piso en calle del mezquite,s/n,Delicias,1420,2.0,95,3.0,1.0,1.0,0,0,0,0,1
1043,Arganzuela,Piso en calle Nebulosas,2,Delicias,1800,3.0,160,3.0,1.0,1.0,0,0,0,0,1
